data_id,sub_id,mb_used
401,185,551
402,796,785
403,440,20
404,693,167
405,591,761
406,568,216
407,531,749
408,440,236
409,560,34
410,922,525
411,394,890
412,159,739
413,910,826
414,215,353
415,283,366
416,533,54
417,490,549
418,912,214
419,955,623
420,331,416
421,482,504
422,107,32
423,86,458
424,321,711
425,38,958
426,620,236
427,349,588
428,657,844
429,25,844
430,568,240
431,640,333
432,102,253
433,882,497
434,914,111
435,954,565
436,608,956
437,583,184
438,463,118
439,276,874
440,609,967
441,181,255
442,636,928
443,934,298
444,27,663
445,282,846
446,197,392
447,233,931
448,949,513
449,313,172
450,535,135
451,631,400
452,692,443
453,299,912
454,357,138
455,256,533
456,794,869
457,383,300
458,336,952
459,826,339
460,592,29
461,843,816
462,449,503
463,720,923
464,457,559
465,678,40
466,538,380
467,329,410
468,915,949
469,890,956
470,339,819
471,220,961
472,567,46
473,115,140
474,271,417
475,884,162
476,114,867
477,783,643
478,104,627
479,639,269
480,896,572
481,13,168
482,685,216
483,424,473
484,551,396
485,519,311
486,312,323
487,436,918
488,118,874
489,755,347
490,248,826
491,151,329
492,731,728
493,827,454
494,402,700
495,772,392
496,319,386
497,372,687
498,127,297
499,60,108
500,702,582
501,730,628
502,194,611
503,657,827
504,507,413
505,50,471
506,441,343
507,643,423
508,651,706
509,428,343
510,264,584
511,865,44
512,945,127
513,508,977
514,687,115
515,832,121
516,957,562
517,90,517
518,418,84
519,458,979
520,220,210
521,278,239
522,600,282
523,230,654
524,581,512
525,206,992
526,514,995
527,798,820
528,766,650
529,90,183
530,191,321
531,467,364
532,824,39
533,249,251
534,79,715
535,380,837
536,106,596
537,284,67
538,384,888
539,273,502
540,763,456
541,738,520
542,256,456
543,305,105
544,144,948
545,89,70
546,613,107
547,399,153
548,438,891
549,83,17
550,936,916
551,719,845
552,966,904
553,744,868
554,39,395
555,875,954
556,798,540
557,148,465
558,550,400
559,587,347
560,420,281
561,758,189
562,361,256
563,119,19
564,499,731
565,692,923
566,86,480
567,64,735
568,602,305
569,24,581
570,326,624
571,115,164
572,587,878
573,419,97
574,931,268
575,551,660
576,624,80
577,599,278
578,449,991
579,634,325
580,279,482
581,516,464
582,817,84
583,411,966
584,522,573
585,972,220
586,126,779
587,963,550
588,372,935
589,822,480
590,629,139
591,852,163
592,606,511
593,634,878
594,261,600
595,948,839
596,308,609
597,425,451
598,637,453
599,427,987
600,462,439
601,323,933
602,793,354
603,733,625
604,814,175
605,680,999
606,614,498
607,712,781
608,395,947
609,48,54
610,592,594
611,525,361
612,682,821
613,394,177
614,198,41
615,423,467
616,40,877
617,802,555
618,951,643
619,588,509
620,97,373
621,510,932
622,854,214
623,971,630
624,257,560
625,156,674
626,229,946
627,612,316
628,643,1
629,447,193
630,371,492
631,495,837
632,474,677
633,621,562
634,140,740
635,941,258
636,141,205
637,863,620
638,11,226
639,385,455
640,319,692
641,268,827
642,491,371
643,915,388
644,509,220
645,532,613
646,126,957
647,909,881
648,942,663
649,579,182
650,956,680
651,645,140
652,707,754
653,963,783
654,865,862
655,455,96
656,31,404
657,53,346
658,637,729
659,962,757
660,773,824
661,931,186
662,600,120
663,313,240
664,224,119
665,620,976
666,249,42
667,172,336
668,287,942
669,786,575
670,221,796
671,288,298
672,463,488
673,645,139
674,226,93
675,638,739
676,990,179
677,696,338
678,250,197
679,182,43
680,224,926
681,897,109
682,966,997
683,127,399
684,649,323
685,455,105
686,258,239
687,902,21
688,249,813
689,977,279
690,671,121
691,198,286
692,877,578
693,315,668
694,619,899
695,80,165
696,573,276
697,730,338
698,157,950
699,276,354
700,83,238
701,220,641
702,466,725
703,233,133
704,764,883
705,629,128
706,336,323
707,83,890
708,884,934
709,716,325
710,887,628
711,95,374
712,370,895
713,989,713
714,796,938
715,21,650
716,313,727
717,951,400
718,711,608
719,7,993
720,418,391
721,791,928
722,499,159
723,531,914
724,49,591
725,474,630
726,150,29
727,874,382
728,742,875
729,717,417
730,765,694
731,543,514
732,990,820
733,850,172
734,594,747
735,432,460
736,71,425
737,85,565
738,457,792
739,876,547
740,792,300
741,88,100
742,557,958
743,698,116
744,520,778
745,989,606
746,576,47
747,534,326
748,18,349
749,97,104
750,650,574
751,237,629
752,145,558
753,343,878
754,137,385
755,321,718
756,651,19
757,744,926
758,342,293
759,597,141
760,653,725
761,847,573
762,127,998
763,823,739
764,106,837
765,409,940
766,243,673
767,144,463
768,780,196
769,51,791
770,619,922
771,890,382
772,543,56
773,311,340
774,643,114
775,970,668
776,296,51
777,368,261
778,527,918
779,236,883
780,998,25
781,4,381
782,760,474
783,742,116
784,675,41
785,159,364
786,531,300
787,388,278
788,359,815
789,300,617
790,892,661
791,256,221
792,350,486
793,534,240
794,623,188
795,158,142
796,737,939
797,785,316
798,904,538
799,265,452
800,606,616
801,426,159
802,127,28
803,203,189
804,603,371
805,712,800
806,963,714
807,175,306
808,114,499
809,217,552
810,750,263
811,496,809
812,356,991
813,213,959
814,656,304
815,257,190
816,120,200
817,945,412
818,273,87
819,371,763
820,915,669
821,158,353
822,661,796
823,384,126
824,419,525
825,563,866
826,874,524
827,734,306
828,9,151
829,866,681
830,519,431
831,850,811
832,863,887
833,833,964
834,896,785
835,886,278
836,512,245
837,468,569
838,735,968
839,306,886
840,247,3
841,528,114
842,603,914
843,705,826
844,235,391
845,101,844
846,839,721
847,637,344
848,491,365
849,896,495
850,508,623
851,345,252
852,999,245
853,239,285
854,480,718
855,578,147
856,634,767
857,794,363
858,240,567
859,711,604
860,444,518
861,302,39
862,108,534
863,730,561
864,891,103
865,734,347
866,411,738
867,827,63
868,424,1000
869,536,436
870,435,905
871,721,931
872,312,569
873,305,818
874,571,924
875,326,972
876,624,678
877,279,494
878,768,945
879,698,192
880,452,801
881,146,693
882,426,162
883,214,419
884,835,316
885,872,574
886,823,361
887,356,278
888,943,688
889,33,908
890,891,423
891,761,285
892,220,944
893,953,940
894,184,390
895,758,308
896,585,506
897,683,184
898,492,49
899,216,116
900,391,129
901,852,961
902,682,227
903,141,274
904,215,534
905,517,863
906,557,240
907,776,189
908,997,262
909,132,597
910,680,223
911,386,218
912,436,725
913,619,738
914,118,371
915,964,605
916,207,938
917,729,786
918,55,683
919,663,884
920,221,80
921,51,463
922,848,920
923,910,392
924,713,13
925,429,643
926,89,412
927,402,543
928,810,958
929,520,626
930,86,156
931,399,450
932,790,578
933,627,387
934,626,147
935,228,774
936,681,973
937,708,853
938,711,510
939,407,466
940,419,326
941,655,587
942,139,649
943,532,308
944,861,754
945,658,420
946,541,102
947,548,278
948,949,946
949,86,606
950,965,187
951,275,846
952,75,308
953,743,66
954,138,297
955,48,506
956,805,974
957,376,616
958,584,956
959,130,132
960,102,867
961,416,643
962,775,626
963,778,38
964,502,738
965,299,79
966,165,734
967,248,874
968,194,678
969,804,73
970,135,112
971,906,141
972,74,822
973,993,498
974,479,435
975,168,592
976,278,627
977,973,320
978,280,445
979,522,164
980,130,302
981,890,178
982,865,646
983,217,882
984,711,437
985,423,988
986,284,840
987,24,842
988,72,65
989,125,248
990,281,861
991,235,316
992,651,289
993,520,263
994,709,675
995,377,748
996,81,124
997,743,306
998,120,296
999,334,573
1000,265,54
1001,764,149
1002,889,621
1003,465,932
1004,745,916
1005,908,952
1006,442,874
1007,685,967
1008,76,562
1009,160,610
1010,217,736
1011,723,802
1012,152,904
1013,496,192
1014,223,683
1015,488,922
1016,758,542
1017,412,839
1018,361,600
1019,294,936
1020,634,483
1021,886,399
1022,787,304
1023,607,922
1024,338,582
1025,67,742
1026,820,260
1027,724,439
1028,811,600
1029,643,612
1030,484,785
1031,508,687
1032,726,110
1033,187,357
1034,634,769
1035,213,910
1036,680,696
1037,747,878
1038,373,514
1039,707,60
1040,160,841
1041,216,193
1042,327,978
1043,399,918
1044,277,360
1045,199,279
1046,753,147
1047,998,175
1048,58,732
1049,767,406
1050,32,94
1051,400,499
1052,556,233
1053,602,342
1054,969,683
1055,664,512
1056,119,635
1057,685,230
1058,143,963
1059,81,260
1060,330,415
1061,329,48
1062,483,749
1063,311,303
1064,424,857
1065,219,567
1066,488,830
1067,62,648
1068,284,316
1069,39,410
1070,278,143
1071,988,149
1072,917,376
1073,163,381
1074,214,182
1075,94,891
1076,66,613
1077,792,171
1078,377,340
1079,235,439
1080,797,74
1081,554,867
1082,695,471
1083,893,886
1084,152,850
1085,914,48
1086,676,150
1087,519,58
1088,224,259
1089,587,410
1090,62,795
1091,697,635
1092,156,65
1093,138,192
1094,235,183
1095,472,696
1096,927,435
1097,298,175
1098,391,318
1099,854,775
1100,581,796
1101,999,952
1102,609,960
1103,431,449
1104,439,643
1105,192,194
1106,162,833
1107,356,821
1108,104,86
1109,677,139
1110,932,484
1111,148,642
1112,462,544
1113,80,916
1114,306,740
1115,861,619
1116,93,538
1117,424,538
1118,659,400
1119,306,785
1120,983,126
1121,597,811
1122,190,41
1123,439,857
1124,812,162
1125,852,101
1126,950,337
1127,658,683
1128,367,19
1129,766,976
1130,554,698
1131,873,813
1132,18,130
1133,682,547
1134,873,307
1135,25,71
1136,907,391
1137,562,30
1138,869,823
1139,109,852
1140,393,23
1141,733,370
1142,7,571
1143,456,119
1144,573,46
1145,887,828
1146,335,496
1147,249,78
1148,891,968
1149,724,452
1150,83,564
1151,722,561
1152,994,647
1153,624,847
1154,500,939
1155,226,397
1156,492,5
1157,437,769
1158,783,191
1159,547,490
1160,971,937
1161,339,59
1162,631,502
1163,158,327
1164,344,55
1165,705,644
1166,753,643
1167,743,901
1168,133,848
1169,317,918
1170,305,182
1171,562,596
1172,493,205
1173,438,791
1174,642,353
1175,774,328
1176,728,955
1177,454,113
1178,398,955
1179,722,889
1180,985,484
1181,241,957
1182,289,454
1183,855,104
1184,976,428
1185,279,976
1186,236,872
1187,2,937
1188,412,401
1189,203,676
1190,356,570
1191,885,83
1192,320,990
1193,463,629
1194,701,644
1195,32,946
1196,63,740
1197,717,792
1198,522,889
1199,929,991
1200,758,975
1201,864,449
1202,462,821
1203,354,162
1204,388,328
1205,419,351
1206,608,252
1207,39,480
1208,247,210
1209,277,299
1210,526,247
1211,66,358
1212,324,78
1213,802,169
1214,724,830
1215,588,115
1216,417,249
1217,580,446
1218,961,909
1219,54,263
1220,924,720
1221,927,361
1222,345,190
1223,180,420
1224,541,42
1225,833,725
1226,197,493
1227,445,181
1228,628,390
1229,276,66
1230,828,867
1231,396,966
1232,811,354
1233,390,133
1234,352,839
1235,741,715
1236,359,72
1237,16,6
1238,931,321
1239,656,374
1240,612,937
1241,985,293
1242,140,69
1243,932,48
1244,720,562
1245,526,312
1246,895,229
1247,363,941
1248,623,954
1249,525,138
1250,409,237
1251,670,398
1252,89,469
1253,886,845
1254,498,976
1255,30,701
1256,26,939
1257,631,813
1258,278,278
1259,12,35
1260,176,830
1261,678,858
1262,89,151
1263,450,502
1264,835,155
1265,705,487
1266,38,991
1267,857,691
1268,801,518
1269,842,231
1270,124,980
1271,90,363
1272,949,331
1273,369,255
1274,874,763
1275,855,364
1276,674,873
1277,685,445
1278,401,500
1279,602,284
1280,547,567
1281,693,370
1282,756,499
1283,896,368
1284,883,540
1285,446,737
1286,940,43
1287,758,361
1288,566,555
1289,329,115
1290,659,536
1291,73,100
1292,335,437
1293,250,748
1294,570,465
1295,676,205
1296,782,717
1297,393,196
1298,887,719
1299,34,271
1300,187,901
1301,589,203
1302,982,459
1303,522,458
1304,514,31
1305,714,604
1306,757,954
1307,595,240
1308,979,803
1309,205,1000
1310,403,154
1311,124,811
1312,425,423
1313,98,629
1314,194,218
1315,532,925
1316,338,264
1317,85,252
1318,620,843
1319,343,588
1320,56,881
1321,706,650
1322,530,622
1323,319,831
1324,151,484
1325,796,518
1326,584,629
1327,130,223
1328,621,993
1329,867,67
1330,948,211
1331,320,66
1332,201,845
1333,721,798
1334,615,954
1335,474,763
1336,238,944
1337,317,77
1338,713,461
1339,502,738
1340,807,357
1341,947,785
1342,865,472
1343,223,890
1344,710,612
1345,756,53
1346,933,427
1347,880,588
1348,385,49
1349,273,414
1350,602,37
1351,411,654
1352,172,614
1353,689,132
1354,556,12
1355,981,252
1356,59,480
1357,369,493
1358,297,233
1359,221,605
1360,976,648
1361,777,280
1362,92,9
1363,510,335
1364,987,557
1365,57,827
1366,460,951
1367,873,181
1368,709,484
1369,798,56
1370,734,704
1371,678,678
1372,424,268
1373,548,612
1374,261,122
1375,748,132
1376,139,110
1377,98,32
1378,848,754
1379,69,968
1380,624,771
1381,186,807
1382,635,732
1383,880,740
1384,916,478
1385,122,653
1386,180,474
1387,693,25
1388,236,661
1389,637,657
1390,606,425
1391,256,604
1392,987,740
1393,296,376
1394,201,887
1395,742,449
1396,411,664
1397,775,395
1398,766,254
1399,549,341
1400,583,855
1401,122,602
1402,606,676
1403,376,975
1404,9,873
1405,441,704
1406,630,349
1407,846,915
1408,422,227
1409,583,916
1410,17,764
1411,923,489
1412,925,132
1413,949,75
1414,250,84
1415,77,249
1416,975,100
1417,726,988
1418,413,646
1419,938,745
1420,881,90
1421,866,216
1422,859,37
1423,550,333
1424,241,463
1425,808,504
1426,401,604
1427,386,578
1428,218,917
1429,112,808
1430,1,631
1431,266,888
1432,147,298
1433,574,180
1434,122,124
1435,838,586
1436,960,352
1437,259,173
1438,75,964
1439,346,84
1440,215,929
1441,324,789
1442,58,748
1443,600,118
1444,430,311
1445,718,868
1446,361,900
1447,131,523
1448,661,283
1449,952,4
1450,504,841
1451,358,224
1452,800,122
1453,344,475
1454,275,368
1455,447,897
1456,865,728
1457,824,782
1458,548,551
1459,530,560
1460,330,611
1461,678,901
1462,323,919
1463,886,609
1464,159,354
1465,286,469
1466,621,533
1467,253,161
1468,254,702
1469,131,10
1470,355,904
1471,575,487
1472,376,26
1473,574,516
1474,233,583
1475,992,978
1476,969,602
1477,48,645
1478,493,396
1479,693,976
1480,174,471
1481,165,230
1482,937,147
1483,430,313
1484,200,685
1485,632,531
1486,442,114
1487,311,56
1488,938,346
1489,277,285
1490,992,379
1491,737,237
1492,886,197
1493,168,118
1494,199,437
1495,537,597
1496,352,288
1497,898,303
1498,898,480
1499,421,599
1500,350,301
1501,63,117
1502,23,927
1503,788,602
1504,798,422
1505,113,106
1506,489,468
1507,75,338
1508,262,956
1509,881,149
1510,471,942
1511,858,750
1512,63,312
1513,719,332
1514,462,523
1515,500,71
1516,328,502
1517,330,1
1518,141,532
1519,296,678
1520,331,236
1521,523,766
1522,905,341
1523,626,236
1524,718,272
1525,173,873
1526,557,456
1527,750,824
1528,250,403
1529,486,788
1530,244,65
1531,216,30
1532,889,702
1533,968,309
1534,975,571
1535,226,252
1536,671,380
1537,413,151
1538,218,554
1539,39,396
1540,542,16
1541,105,794
1542,197,664
1543,52,399
1544,84,195
1545,418,186
1546,950,651
1547,614,963
1548,949,393
1549,941,135
1550,583,314
1551,598,827
1552,408,2
1553,228,869
1554,998,632
1555,219,64
1556,469,607
1557,513,657
1558,599,94
1559,7,186
1560,997,1000
1561,470,604
1562,355,230
1563,751,840
1564,622,831
1565,435,991
1566,429,118
1567,956,503
1568,643,919
1569,337,726
1570,383,801
1571,32,637
1572,128,48
1573,870,81
1574,951,163
1575,576,472
1576,995,667
1577,531,181
1578,490,26
1579,503,204
1580,158,754
1581,527,409
1582,918,733
1583,92,617
1584,920,29
1585,533,346
1586,64,339
1587,472,832
1588,180,67
1589,446,513
1590,764,413
1591,997,953
1592,232,346
1593,215,842
1594,471,926
1595,239,960
1596,999,13
1597,891,326
1598,172,477
1599,390,629
1600,137,19
1601,390,494
1602,139,513
1603,691,624
1604,772,612
1605,901,33
1606,658,731
1607,903,5
1608,572,560
1609,849,236
1610,93,212
1611,40,854
1612,849,973
1613,55,654
1614,167,219
1615,710,631
1616,603,373
1617,40,248
1618,532,216
1619,372,914
1620,9,49
1621,473,715
1622,552,5
1623,55,9
1624,874,885
1625,437,363
1626,360,231
1627,520,529
1628,67,382
1629,649,228
1630,644,472
1631,495,121
1632,343,88
1633,112,371
1634,278,434
1635,471,771
1636,752,263
1637,237,388
1638,201,94
1639,720,850
1640,699,358
1641,819,171
1642,509,806
1643,402,366
1644,930,960
1645,80,109
1646,395,105
1647,468,283
1648,535,974
1649,275,826
1650,795,199
1651,557,687
1652,429,173
1653,461,953
1654,737,141
1655,918,844
1656,716,80
1657,556,62
1658,296,286
1659,580,982
1660,810,776
1661,822,801
1662,344,829
1663,486,427
1664,44,195
1665,130,139
1666,997,41
1667,227,568
1668,776,80
1669,677,397
1670,707,13
1671,890,532
1672,172,438
1673,339,462
1674,261,726
1675,715,814
1676,38,73
1677,298,650
1678,130,141
1679,75,108
1680,123,996
1681,951,802
1682,115,775
1683,249,377
1684,980,215
1685,309,519
1686,53,875
1687,398,319
1688,788,6
1689,635,360
1690,627,258
1691,919,747
1692,353,407
1693,417,934
1694,960,962
1695,477,950
1696,195,49
1697,492,187
1698,520,640
1699,492,442
1700,296,51
1701,261,978
1702,230,185
1703,965,860
1704,49,59
1705,651,61
1706,912,102
1707,6,730
1708,502,144
1709,387,57
1710,945,534
1711,359,308
1712,302,462
1713,724,545
1714,130,52
1715,55,279
1716,164,126
1717,34,749
1718,589,612
1719,685,636
1720,435,3
1721,411,335
1722,242,700
1723,324,99
1724,214,159
1725,274,422
1726,620,136
1727,261,317
1728,428,828
1729,326,85
1730,979,414
1731,455,769
1732,749,616
1733,522,465
1734,604,828
1735,901,537
1736,428,797
1737,635,112
1738,606,12
1739,814,384
1740,376,73
1741,8,761
1742,74,694
1743,30,474
1744,256,611
1745,447,876
1746,710,647
1747,394,96
1748,363,182
1749,554,670
1750,883,135
1751,9,315
1752,304,962
1753,227,597
1754,34,988
1755,851,838
1756,306,54
1757,76,331
1758,98,127
1759,406,859
1760,237,400
1761,342,541
1762,122,227
1763,540,920
1764,9,372
1765,365,307
1766,939,997
1767,664,58
1768,911,105
1769,893,788
1770,121,911
1771,853,660
1772,283,557
1773,15,992
1774,158,988
1775,109,149
1776,284,527
1777,219,270
1778,592,854
1779,634,236
1780,258,14
1781,783,824
1782,577,456
1783,175,382
1784,733,342
1785,542,482
1786,746,750
1787,620,868
1788,251,239
1789,669,533
1790,45,53
1791,929,442
1792,942,702
1793,838,398
1794,799,113
1795,445,604
1796,942,231
1797,412,193
1798,172,80
1799,241,975
1800,576,245
1801,413,407
1802,425,27
1803,949,724
1804,618,684
1805,83,337
1806,749,276
1807,627,816
1808,349,402
1809,641,852
1810,264,531
1811,395,186
1812,851,997
1813,642,332
1814,534,33
1815,622,793
1816,435,622
1817,799,35
1818,749,623
1819,915,280
1820,500,803
1821,159,845
1822,918,209
1823,214,302
1824,650,417
1825,421,881
1826,994,584
1827,256,708
1828,536,881
1829,833,570
1830,25,783
1831,154,285
1832,812,613
1833,650,478
1834,698,978
1835,561,647
1836,270,900
1837,400,131
1838,800,518
1839,192,308
1840,764,596
1841,469,107
1842,866,303
1843,99,389
1844,191,129
1845,340,627
1846,9,860
1847,432,447
1848,339,354
1849,448,893
1850,210,509
1851,84,633
1852,159,27
1853,618,824
1854,127,339
1855,2,344
1856,408,235
1857,131,529
1858,167,420
1859,688,415
1860,200,819
1861,587,232
1862,253,924
1863,31,75
1864,184,388
1865,937,787
1866,543,343
1867,340,660
1868,113,727
1869,492,55
1870,193,375
1871,121,834
1872,266,604
1873,677,498
1874,164,524
1875,181,414
1876,809,305
1877,550,259
1878,543,957
1879,290,774
1880,818,628
1881,178,480
1882,969,918
1883,848,468
1884,367,342
1885,10,7
1886,723,532
1887,39,817
1888,314,86
1889,375,284
1890,615,843
1891,834,495
1892,509,367
1893,692,840
1894,292,673
1895,553,804
1896,770,970
1897,61,728
1898,406,826
1899,770,229
1900,243,169
1901,53,866
1902,664,33
1903,788,41
1904,966,724
1905,280,186
1906,931,524
1907,960,114
1908,261,137
1909,440,97
1910,700,603
1911,202,303
1912,748,512
1913,673,715
1914,930,227
1915,95,825
1916,544,500
1917,165,43
1918,624,601
1919,199,283
1920,741,672
1921,28,455
1922,733,932
1923,971,711
1924,443,262
1925,756,364
1926,698,525
1927,806,976
1928,862,659
1929,233,140
1930,911,129
1931,408,728
1932,715,729
1933,552,838
1934,14,544
1935,684,816
1936,562,533
1937,78,620
1938,324,485
1939,904,644
1940,223,704
1941,373,191
1942,258,29
1943,266,421
1944,777,980
1945,962,934
1946,89,647
1947,401,321
1948,211,600
1949,951,773
1950,364,121
1951,518,309
1952,777,516
1953,10,983
1954,679,718
1955,989,974
1956,454,921
1957,279,974
1958,203,462
1959,181,624
1960,175,756
1961,915,385
1962,293,741
1963,180,466
1964,982,544
1965,341,412
1966,383,195
1967,832,538
1968,695,680
1969,358,202
1970,528,105
1971,87,434
1972,527,782
1973,847,12
1974,359,318
1975,925,365
1976,448,628
1977,424,491
1978,67,405
1979,40,462
1980,920,903
1981,523,666
1982,273,304
1983,964,178
1984,568,310
1985,805,94
1986,121,693
1987,261,477
1988,352,991
1989,277,987
1990,734,21
1991,101,956
1992,758,344
1993,915,136
1994,3,185
1995,605,36
1996,618,298
1997,843,452
1998,751,813
1999,833,32
