demo_id,age,gender
571,33,M
572,40,F
573,59,F
574,20,Other
575,76,M
576,41,M
577,43,F
578,80,M
579,79,Other
580,58,F
581,33,F
582,51,Other
583,53,M
584,49,F
585,64,M
586,43,Other
587,42,M
588,37,F
589,84,F
590,36,M
591,55,M
592,82,Other
593,38,F
594,70,M
595,71,Other
596,27,M
597,60,Other
598,53,M
599,64,F
600,66,M
601,40,M
602,20,M
603,20,Other
604,38,Other
605,31,Other
606,59,M
607,34,M
608,33,Other
609,85,M
610,48,F
611,36,M
612,22,M
613,20,M
614,52,F
615,56,Other
616,72,M
617,79,F
618,53,Other
619,52,F
620,19,M
621,43,F
622,26,Other
623,85,F
624,63,Other
625,81,M
626,85,Other
627,46,M
628,48,M
629,36,M
630,66,F
631,85,Other
632,71,Other
633,27,Other
634,52,Other
635,48,F
636,57,F
637,82,F
638,41,F
639,52,M
640,40,M
641,83,F
642,53,M
643,56,F
644,76,M
645,40,M
646,74,F
647,21,F
648,79,Other
649,78,Other
650,35,F
651,41,F
652,85,M
653,67,M
654,71,M
655,42,F
656,83,M
657,54,F
658,34,F
659,35,F
660,24,F
661,44,M
662,53,Other
663,55,F
664,24,Other
665,72,M
666,25,F
667,68,Other
668,83,M
669,68,M
670,72,F
671,37,F
672,32,M
673,57,Other
674,60,Other
675,34,F
676,58,F
677,28,F
678,55,F
679,33,Other
680,80,Other
681,76,Other
682,38,Other
683,81,F
684,45,Other
685,46,Other
686,72,F
687,65,F
688,59,F
689,45,M
690,21,F
691,72,F
692,78,Other
693,71,M
694,73,F
695,52,Other
696,49,F
697,82,M
698,52,M
699,20,M
700,52,F
701,48,F
702,36,Other
703,34,M
704,71,M
705,53,F
706,32,F
707,78,F
708,49,M
709,38,Other
710,56,F
711,47,Other
712,51,Other
713,68,M
714,76,M
715,21,M
716,31,M
717,28,F
718,52,Other
719,48,Other
720,75,M
721,37,F
722,54,M
723,46,F
724,84,Other
725,69,Other
726,76,F
727,75,F
728,29,M
729,48,F
730,18,Other
731,76,F
732,58,Other
733,54,F
734,26,F
735,46,M
736,35,M
737,23,Other
738,64,F
739,25,F
740,79,Other
741,45,M
742,44,F
743,83,F
744,65,F
745,42,F
746,41,Other
747,47,Other
748,84,F
749,22,F
750,76,M
751,74,M
752,32,M
753,19,F
754,85,M
755,45,M
756,81,F
757,82,Other
758,74,F
759,26,Other
760,46,F
761,31,Other
762,38,Other
763,19,F
764,23,F
765,56,Other
766,78,F
767,83,F
768,58,Other
769,27,F
770,28,F
771,69,M
772,34,Other
773,61,Other
774,39,Other
775,83,F
776,57,M
777,60,M
778,21,M
779,58,M
780,64,M
781,21,Other
782,35,F
783,76,F
784,33,F
785,68,F
786,62,M
787,65,M
788,69,M
789,49,Other
790,66,Other
791,76,Other
792,55,Other
793,57,F
794,51,M
795,24,F
796,37,F
797,79,Other
798,70,F
799,40,M
800,37,M
801,84,F
802,24,Other
803,28,F
804,61,Other
805,29,Other
806,23,M
807,27,Other
808,77,M
809,71,F
810,23,M
811,84,Other
812,85,Other
813,65,Other
814,48,M
815,51,F
816,83,Other
817,54,Other
818,30,Other
819,21,F
820,62,M
821,48,M
822,83,Other
823,42,F
824,21,M
825,40,Other
826,77,M
827,47,Other
828,41,Other
829,33,Other
830,79,M
831,66,F
832,67,F
833,63,Other
834,57,Other
835,50,Other
836,34,Other
837,24,F
838,60,F
839,53,M
840,38,M
841,53,M
842,36,M
843,77,M
844,61,F
845,65,F
846,36,Other
847,49,M
848,27,M
849,67,Other
850,56,M
851,67,Other
852,18,M
853,27,M
854,61,M
855,67,M
856,85,M
857,36,F
858,27,Other
859,80,M
860,22,F
861,35,M
862,48,F
863,79,M
864,21,Other
865,50,Other
866,35,Other
867,53,Other
868,57,Other
869,41,Other
870,40,F
871,59,Other
872,53,Other
873,72,F
874,43,Other
875,54,F
876,79,M
877,57,Other
878,51,F
879,67,Other
880,38,F
881,65,Other
882,66,M
883,84,Other
884,59,Other
885,19,M
886,50,M
887,60,F
888,28,F
889,45,F
890,68,F
891,39,M
892,50,M
893,57,F
894,49,M
895,54,F
896,55,M
897,40,F
898,60,Other
899,29,Other
900,72,M
901,63,M
902,44,F
903,60,M
904,36,Other
905,71,Other
906,51,F
907,82,M
908,59,M
909,81,Other
910,65,F
911,64,Other
912,66,F
913,52,M
914,69,M
915,44,M
916,47,Other
917,48,M
918,72,F
919,83,M
920,39,F
921,66,Other
922,43,Other
923,32,Other
924,62,M
925,52,F
926,24,F
927,55,M
928,73,M
929,64,F
930,23,Other
931,26,M
932,76,Other
933,37,M
934,28,M
935,76,F
936,76,M
937,26,M
938,67,M
939,31,M
940,32,Other
941,44,M
942,81,M
943,18,Other
944,82,F
945,69,F
946,81,Other
947,73,Other
948,60,M
949,85,M
950,30,F
951,74,F
952,27,M
953,60,F
954,28,F
955,49,F
956,82,F
957,73,M
958,47,M
959,27,F
960,19,Other
961,55,M
962,53,F
963,21,Other
964,80,Other
965,46,M
966,83,M
967,24,Other
968,40,F
969,26,M
970,56,M
971,48,F
972,66,Other
973,64,Other
974,18,M
975,51,M
976,49,F
977,39,F
978,74,M
979,69,M
980,82,F
981,83,M
982,25,M
983,75,M
984,82,F
985,72,Other
986,50,Other
987,79,F
988,78,F
989,66,F
990,73,M
991,73,F
992,63,M
993,58,F
994,31,Other
995,54,M
996,44,F
997,31,Other
998,63,M
999,41,F
1000,35,Other
