sms_id,sub_id,msg_length
871,529,87
872,859,89
873,998,100
874,584,98
875,976,130
876,652,15
877,754,67
878,389,93
879,785,49
880,310,114
881,810,155
882,722,87
883,507,75
884,911,109
885,811,49
886,567,101
887,545,141
888,778,136
889,168,108
890,675,27
891,437,134
892,293,80
893,666,15
894,489,39
895,160,129
896,248,45
897,924,54
898,370,41
899,867,28
900,265,59
901,577,28
902,111,130
903,206,111
904,169,79
905,278,115
906,43,21
907,885,116
908,431,70
909,792,42
910,682,113
911,85,159
912,567,43
913,113,38
914,772,115
915,218,12
916,831,78
917,921,84
918,44,114
919,193,43
920,29,103
921,438,158
922,695,135
923,11,67
924,926,20
925,252,140
926,253,22
927,707,77
928,483,77
929,825,38
930,661,18
931,764,144
932,839,101
933,71,50
934,663,137
935,756,24
936,33,119
937,916,158
938,276,85
939,671,65
940,157,95
941,55,131
942,489,50
943,596,137
944,556,145
945,64,11
946,50,122
947,455,18
948,443,81
949,6,47
950,769,74
951,336,54
952,292,25
953,385,19
954,4,46
955,785,53
956,969,158
957,567,33
958,609,57
959,754,156
960,403,158
961,381,33
962,984,64
963,282,66
964,503,22
965,622,19
966,618,12
967,695,74
968,976,45
969,811,160
970,375,39
971,470,39
972,562,145
973,626,147
974,152,25
975,77,110
976,908,77
977,44,18
978,555,21
979,554,88
980,573,118
981,724,85
982,928,118
983,672,71
984,254,47
985,879,60
986,597,22
987,773,151
988,376,39
989,826,107
990,874,83
991,666,145
992,477,144
993,887,49
994,341,109
995,71,58
996,408,38
997,49,67
998,53,59
999,46,62
1000,174,135
1001,173,38
1002,447,17
1003,922,143
1004,721,79
1005,657,123
1006,367,101
1007,323,118
1008,800,125
1009,671,138
1010,809,148
1011,637,103
1012,671,35
1013,124,68
1014,354,51
1015,42,89
1016,135,21
1017,991,14
1018,166,74
1019,425,153
1020,906,155
1021,277,68
1022,14,136
1023,325,29
1024,52,49
1025,12,127
1026,483,137
1027,812,32
1028,597,74
1029,627,47
1030,142,146
1031,682,52
1032,868,65
1033,929,141
1034,733,24
1035,482,40
1036,80,103
1037,672,28
1038,769,98
1039,214,105
1040,646,151
1041,359,10
1042,879,72
1043,93,121
1044,62,137
1045,799,145
1046,54,80
1047,953,25
1048,804,42
1049,503,155
1050,101,78
1051,227,96
1052,852,121
1053,656,50
1054,81,71
1055,878,126
1056,288,28
1057,389,22
1058,545,125
1059,969,121
1060,545,101
1061,429,55
1062,507,85
1063,979,101
1064,816,124
1065,380,135
1066,487,62
1067,230,143
1068,929,88
1069,319,141
1070,168,21
1071,243,33
1072,998,81
1073,491,32
1074,765,51
1075,482,135
1076,310,44
1077,32,96
1078,765,76
1079,517,159
1080,374,78
1081,433,72
1082,216,136
1083,680,10
1084,386,132
1085,537,55
1086,296,68
1087,413,28
1088,180,28
1089,541,74
1090,568,101
1091,816,43
1092,317,100
1093,142,18
1094,988,125
1095,792,52
1096,13,41
1097,764,14
1098,328,59
1099,508,108
1100,68,140
1101,55,23
1102,621,48
1103,653,99
1104,740,58
1105,156,155
1106,340,16
1107,665,145
1108,553,20
1109,949,68
1110,794,23
1111,306,149
1112,525,63
1113,798,94
1114,222,123
1115,571,132
1116,469,92
1117,739,111
1118,130,108
1119,538,65
1120,564,110
1121,486,120
1122,111,148
1123,831,66
1124,95,156
1125,577,158
1126,63,146
1127,467,133
1128,692,63
1129,58,49
1130,623,148
1131,157,33
1132,848,145
1133,2,100
1134,639,126
1135,136,160
1136,868,160
1137,93,107
1138,810,143
1139,178,58
1140,680,15
1141,268,68
1142,79,27
1143,511,105
1144,411,160
1145,645,108
1146,417,77
1147,33,52
1148,924,100
1149,704,24
1150,776,133
1151,318,66
1152,429,38
1153,808,20
1154,808,83
1155,380,152
1156,94,83
1157,691,138
1158,902,24
1159,522,67
1160,578,13
1161,988,52
1162,113,11
1163,823,135
1164,179,121
1165,429,125
1166,197,62
1167,240,107
1168,757,102
1169,469,104
1170,716,125
1171,118,106
1172,678,97
1173,878,66
1174,624,53
1175,433,12
1176,667,124
1177,834,33
1178,324,64
1179,583,46
1180,742,126
1181,862,69
1182,804,138
1183,722,66
1184,620,35
1185,974,137
1186,982,136
1187,864,80
1188,106,85
1189,254,61
1190,596,101
1191,758,28
1192,296,69
1193,619,157
1194,230,44
1195,751,94
1196,140,28
1197,585,67
1198,828,116
1199,522,152
1200,59,150
1201,659,54
1202,303,150
1203,159,63
1204,506,132
1205,858,152
1206,87,78
1207,693,57
1208,40,14
1209,84,140
1210,451,50
1211,441,86
1212,594,30
1213,738,146
1214,7,142
1215,649,23
1216,802,97
1217,352,52
1218,743,114
1219,863,120
1220,54,52
1221,345,81
1222,78,128
1223,331,155
1224,23,65
1225,654,87
1226,681,73
1227,528,124
1228,520,147
1229,199,111
1230,783,27
1231,965,154
1232,522,45
1233,334,81
1234,167,77
1235,522,73
1236,914,140
1237,234,62
1238,625,106
1239,827,135
1240,560,58
1241,356,89
1242,429,139
1243,869,147
1244,920,75
1245,494,98
1246,896,44
1247,343,18
1248,223,107
1249,804,98
1250,298,87
1251,72,90
1252,355,42
1253,187,70
1254,793,66
1255,178,27
1256,99,88
1257,694,60
1258,738,131
1259,320,123
1260,496,110
1261,367,56
1262,759,135
1263,309,148
1264,941,86
1265,914,158
1266,994,97
1267,175,140
1268,236,74
1269,916,97
1270,237,138
1271,759,45
1272,860,102
1273,454,52
1274,673,102
1275,87,156
1276,412,143
1277,84,113
1278,175,102
1279,834,95
1280,230,41
1281,584,91
1282,862,137
1283,120,65
1284,542,58
1285,805,124
1286,956,124
1287,616,84
1288,107,97
1289,622,121
1290,409,56
1291,526,78
1292,869,154
1293,436,51
1294,513,106
1295,176,48
1296,212,92
1297,670,146
1298,757,115
1299,826,125
1300,112,129
1301,167,87
1302,588,30
1303,755,87
1304,737,42
1305,98,87
1306,525,26
1307,267,150
1308,229,11
1309,54,43
1310,199,53
1311,959,115
1312,601,158
1313,627,150
1314,358,72
1315,32,13
1316,430,86
1317,798,101
1318,70,87
1319,309,78
1320,496,80
1321,413,18
1322,111,70
1323,263,86
1324,235,112
1325,264,18
1326,24,51
1327,783,95
1328,154,107
1329,608,38
1330,110,141
1331,228,88
1332,612,76
1333,112,11
1334,363,155
1335,334,150
1336,41,14
1337,987,129
1338,641,83
1339,417,97
1340,500,84
1341,73,46
1342,710,152
1343,437,104
1344,448,93
1345,537,120
1346,235,127
1347,989,47
1348,90,121
1349,961,102
1350,860,128
1351,216,138
1352,630,116
1353,171,155
1354,282,27
1355,890,51
1356,806,92
1357,497,14
1358,929,47
1359,507,58
1360,163,18
1361,266,37
1362,787,17
1363,735,136
1364,465,75
1365,908,80
1366,432,101
1367,315,85
1368,265,107
1369,315,101
1370,147,37
1371,286,97
1372,482,124
1373,864,131
1374,995,108
1375,110,67
1376,481,49
1377,251,58
1378,775,111
1379,153,94
1380,108,106
1381,410,138
1382,281,130
1383,606,136
1384,925,57
1385,176,74
1386,883,33
1387,331,41
1388,757,52
1389,731,92
1390,956,112
1391,347,34
1392,698,61
1393,466,10
1394,835,112
1395,22,153
1396,498,127
1397,970,16
1398,583,155
1399,422,147
1400,974,17
1401,702,133
1402,431,146
1403,392,94
1404,609,85
1405,412,77
1406,581,67
1407,499,118
1408,497,112
1409,458,63
1410,214,158
1411,696,85
1412,22,36
1413,144,133
1414,588,132
1415,709,34
1416,991,45
1417,726,80
1418,282,106
1419,776,34
1420,519,96
1421,368,61
1422,348,79
1423,481,64
1424,857,59
1425,789,63
1426,255,116
1427,23,33
1428,867,116
1429,833,109
1430,369,58
1431,715,39
1432,573,159
1433,91,155
1434,408,30
1435,464,62
1436,326,50
1437,520,79
1438,353,30
1439,544,137
1440,390,65
1441,741,30
1442,452,84
1443,737,14
1444,853,56
1445,180,87
1446,838,136
1447,916,147
1448,482,118
1449,675,118
1450,754,133
1451,793,14
1452,240,143
1453,32,39
1454,645,139
1455,55,67
1456,125,81
1457,199,106
1458,815,46
1459,725,29
1460,191,23
1461,607,22
1462,955,54
1463,369,18
1464,196,127
1465,529,13
1466,983,152
1467,882,26
1468,961,127
1469,739,41
1470,631,132
1471,537,58
1472,968,137
1473,181,103
1474,471,39
1475,801,69
1476,86,56
1477,86,150
1478,685,158
1479,806,23
1480,6,142
1481,433,127
1482,777,34
1483,685,145
1484,435,93
1485,320,133
1486,776,122
1487,360,26
1488,36,82
1489,398,101
1490,962,136
1491,65,19
1492,609,14
1493,760,84
1494,742,146
1495,703,89
1496,335,65
1497,764,130
1498,185,156
1499,154,25
1500,865,56
1501,371,41
1502,244,78
1503,792,45
1504,365,13
1505,637,52
1506,276,103
1507,72,126
1508,587,39
1509,273,138
1510,789,113
1511,394,114
1512,482,16
1513,331,12
1514,207,76
1515,981,83
1516,503,138
1517,514,83
1518,751,35
1519,885,148
1520,619,85
1521,868,103
1522,56,142
1523,679,12
1524,924,29
1525,477,58
1526,348,145
1527,101,141
1528,206,53
1529,837,21
1530,337,156
1531,161,124
1532,321,16
1533,324,83
1534,668,34
1535,912,46
1536,12,97
1537,182,84
1538,299,33
1539,184,142
1540,320,65
1541,999,139
1542,962,153
1543,749,35
1544,225,109
1545,191,32
1546,590,106
1547,358,107
1548,55,73
1549,914,50
1550,735,35
1551,432,119
1552,96,26
1553,753,121
1554,940,14
1555,415,66
1556,789,131
1557,15,152
1558,551,44
1559,792,154
1560,975,112
1561,586,45
1562,526,138
1563,170,34
1564,624,130
1565,918,153
1566,695,130
1567,955,100
1568,626,102
1569,999,41
1570,507,80
1571,608,106
1572,999,26
1573,48,22
1574,815,151
1575,43,145
1576,127,69
1577,979,86
1578,786,105
1579,844,132
1580,250,47
1581,127,149
1582,856,145
1583,798,35
1584,385,58
1585,488,75
1586,572,137
1587,894,57
1588,929,82
1589,766,18
1590,135,134
1591,116,156
1592,832,131
1593,658,154
1594,123,37
1595,323,95
1596,198,34
1597,591,103
1598,376,71
1599,438,143
1600,8,96
1601,479,131
1602,521,65
1603,729,62
1604,378,82
1605,314,43
1606,761,86
1607,679,102
1608,801,49
1609,459,149
1610,37,159
1611,748,70
1612,375,55
1613,182,12
1614,743,12
1615,542,96
1616,646,121
1617,73,114
1618,304,136
1619,689,160
1620,847,77
1621,621,77
1622,873,54
1623,594,117
1624,205,36
1625,130,28
1626,919,132
1627,430,132
1628,199,53
1629,423,44
1630,285,79
1631,232,11
1632,606,63
1633,462,151
1634,94,141
1635,52,71
1636,166,151
1637,278,25
1638,716,49
1639,486,10
1640,457,102
1641,918,50
1642,445,117
1643,150,47
1644,269,137
1645,727,153
1646,801,139
1647,868,84
1648,638,146
1649,157,153
1650,692,117
1651,25,67
1652,937,152
1653,157,141
1654,206,118
1655,373,124
1656,978,24
1657,952,97
1658,228,51
1659,951,105
1660,513,92
1661,20,18
1662,371,58
1663,208,111
1664,891,42
1665,912,154
1666,46,49
1667,311,141
1668,604,63
1669,634,109
1670,441,132
1671,504,107
1672,926,13
1673,246,135
1674,167,154
1675,911,52
1676,112,94
1677,921,55
1678,781,136
1679,129,91
1680,116,135
1681,371,85
1682,505,50
1683,715,130
1684,165,52
1685,179,128
1686,861,63
1687,35,70
1688,291,116
1689,651,121
1690,521,95
1691,441,46
1692,830,21
1693,101,139
1694,1000,87
1695,936,129
1696,37,58
1697,222,121
1698,271,135
1699,234,157
1700,54,152
1701,853,154
1702,158,85
1703,409,155
1704,497,152
1705,873,30
1706,928,142
1707,202,117
1708,513,115
1709,720,121
1710,415,93
1711,881,139
1712,602,140
1713,820,139
1714,152,111
1715,490,100
1716,241,60
1717,629,86
1718,257,79
1719,159,148
1720,600,28
1721,97,89
1722,573,126
1723,616,73
1724,168,114
1725,568,121
1726,415,112
1727,13,56
1728,237,36
1729,752,94
1730,320,121
1731,928,80
1732,889,68
1733,537,120
1734,711,104
1735,975,73
1736,793,38
1737,967,105
1738,319,50
1739,545,151
1740,704,160
1741,538,122
1742,320,26
1743,451,153
1744,365,55
1745,541,59
1746,692,104
1747,7,57
1748,865,80
1749,980,99
1750,290,119
1751,857,88
1752,867,92
1753,746,26
1754,636,93
1755,182,64
1756,144,50
1757,450,85
1758,423,14
1759,370,145
1760,798,151
1761,980,134
1762,417,50
1763,48,110
1764,963,139
1765,338,137
1766,815,121
1767,589,48
1768,545,134
1769,968,84
1770,134,52
1771,394,153
1772,257,19
1773,340,46
1774,880,109
1775,171,124
1776,821,98
1777,313,84
1778,375,33
1779,930,99
1780,351,98
1781,569,149
1782,110,117
1783,432,43
1784,50,21
1785,691,126
1786,650,106
1787,800,75
1788,581,108
1789,688,29
1790,207,51
1791,756,17
1792,641,62
1793,267,137
1794,537,102
1795,273,38
1796,288,57
1797,790,32
1798,677,122
1799,267,109
1800,844,125
1801,480,94
1802,21,93
1803,425,42
1804,719,82
1805,854,148
1806,747,100
1807,53,47
1808,174,141
1809,44,69
1810,944,15
1811,135,31
1812,529,36
1813,431,154
1814,710,19
1815,950,27
1816,921,72
1817,20,123
1818,863,98
1819,720,25
1820,648,97
1821,326,25
1822,685,125
1823,344,124
1824,75,23
1825,79,150
1826,903,55
1827,779,127
1828,450,64
1829,878,13
1830,260,118
1831,847,124
1832,532,146
1833,782,42
1834,70,134
1835,325,29
1836,179,96
1837,834,155
1838,61,54
1839,917,102
1840,971,45
1841,180,125
1842,345,46
1843,7,69
1844,17,106
1845,593,58
1846,557,98
1847,834,81
1848,753,14
1849,560,52
1850,452,101
1851,456,142
1852,122,137
1853,957,12
1854,680,84
1855,187,137
1856,787,52
1857,249,20
1858,17,147
1859,809,130
1860,962,150
1861,775,45
1862,657,152
1863,696,128
1864,662,51
1865,60,120
1866,956,63
1867,816,80
1868,220,115
1869,747,99
1870,122,114
1871,135,47
1872,711,104
1873,307,151
1874,293,70
1875,606,88
1876,989,128
1877,905,64
1878,400,105
1879,664,94
1880,754,109
1881,513,67
1882,878,129
1883,629,69
1884,311,129
1885,480,15
1886,325,55
1887,272,85
1888,523,105
1889,65,19
1890,998,59
1891,452,24
1892,676,82
1893,999,111
1894,933,155
1895,174,28
1896,344,21
1897,799,154
1898,92,26
1899,121,99
1900,300,75
1901,110,93
1902,138,40
1903,155,102
1904,369,139
1905,309,32
1906,17,133
1907,441,138
1908,890,10
1909,405,142
1910,705,29
1911,713,22
1912,391,80
1913,264,104
1914,54,138
1915,36,58
1916,795,62
1917,462,131
1918,530,147
1919,433,34
1920,395,143
1921,9,45
1922,647,75
1923,522,121
1924,445,50
1925,677,129
1926,940,143
1927,395,42
1928,265,64
1929,510,86
1930,605,83
1931,915,27
1932,558,116
1933,412,128
1934,536,73
1935,783,72
1936,25,137
1937,568,61
1938,462,132
1939,402,108
1940,720,121
1941,54,40
1942,291,33
1943,911,32
1944,584,69
1945,102,21
1946,909,15
1947,529,11
1948,628,45
1949,4,101
1950,689,26
1951,999,136
1952,233,11
1953,36,122
1954,593,93
1955,160,87
1956,821,99
1957,590,109
1958,238,133
1959,657,137
1960,198,150
1961,710,36
1962,245,101
1963,370,135
1964,907,125
1965,48,28
1966,182,64
1967,733,43
1968,129,156
1969,175,71
1970,720,86
1971,183,14
1972,658,130
1973,651,149
1974,89,89
1975,54,30
1976,822,143
1977,130,76
1978,429,89
1979,26,160
1980,5,98
1981,365,111
1982,334,90
1983,663,131
1984,122,67
1985,269,21
1986,155,64
1987,913,133
1988,855,131
1989,67,120
1990,404,73
1991,515,45
1992,894,111
1993,998,152
1994,391,132
1995,211,75
1996,14,69
1997,768,48
1998,414,147
1999,236,43
