method_id,account_id,type
856,856,Debit
857,857,Bank
858,858,Debit
859,859,Credit
860,860,Bank
861,861,Debit
862,862,Debit
863,863,Bank
864,864,Bank
865,865,Debit
866,866,Debit
867,867,Bank
868,868,Bank
869,869,Bank
870,870,Bank
871,871,Debit
872,872,Credit
873,873,Bank
874,874,Bank
875,875,Credit
876,876,Debit
877,877,Debit
878,878,Bank
879,879,Credit
880,880,Credit
881,881,Bank
882,882,Bank
883,883,Credit
884,884,Credit
885,885,Debit
886,886,Bank
887,887,Debit
888,888,Bank
889,889,Debit
890,890,Debit
891,891,Bank
892,892,Debit
893,893,Bank
894,894,Bank
895,895,Credit
896,896,Bank
897,897,Bank
898,898,Credit
899,899,Debit
900,900,Credit
901,901,Credit
902,902,Bank
903,903,Bank
904,904,Debit
905,905,Credit
906,906,Credit
907,907,Debit
908,908,Bank
909,909,Debit
910,910,Debit
911,911,Bank
912,912,Credit
913,913,Bank
914,914,Debit
915,915,Credit
916,916,Credit
917,917,Credit
918,918,Bank
919,919,Debit
920,920,Debit
921,921,Credit
922,922,Credit
923,923,Debit
924,924,Bank
925,925,Bank
926,926,Bank
927,927,Bank
928,928,Debit
929,929,Credit
930,930,Credit
931,931,Debit
932,932,Bank
933,933,Debit
934,934,Credit
935,935,Debit
936,936,Credit
937,937,Debit
938,938,Debit
939,939,Bank
940,940,Bank
941,941,Bank
942,942,Bank
943,943,Credit
944,944,Bank
945,945,Debit
946,946,Credit
947,947,Debit
948,948,Bank
949,949,Bank
950,950,Credit
951,951,Bank
952,952,Bank
953,953,Debit
954,954,Credit
955,955,Debit
956,956,Bank
957,957,Bank
958,958,Credit
959,959,Debit
960,960,Credit
961,961,Bank
962,962,Bank
963,963,Debit
964,964,Credit
965,965,Credit
966,966,Credit
967,967,Credit
968,968,Bank
969,969,Debit
970,970,Debit
971,971,Bank
972,972,Credit
973,973,Bank
974,974,Credit
975,975,Debit
976,976,Credit
977,977,Bank
978,978,Credit
979,979,Bank
980,980,Bank
981,981,Credit
982,982,Debit
983,983,Credit
984,984,Bank
985,985,Bank
986,986,Bank
987,987,Credit
988,988,Debit
989,989,Credit
990,990,Debit
991,991,Credit
992,992,Bank
993,993,Debit
994,994,Debit
995,995,Debit
996,996,Bank
997,997,Debit
998,998,Bank
999,999,Debit
1000,1000,Bank
