ticket_id,customer_id,issue_type
241,44,Network
242,373,Billing
243,654,Billing
244,598,Billing
245,95,Billing
246,398,Network
247,919,Billing
248,402,Billing
249,435,Billing
250,144,Network
251,269,Hardware
252,855,Hardware
253,247,Network
254,161,Network
255,293,Hardware
256,795,Hardware
257,91,Billing
258,590,Hardware
259,128,Billing
260,505,Billing
261,727,Network
262,245,Network
263,894,Billing
264,457,Network
265,765,Hardware
266,679,Billing
267,158,Hardware
268,381,Billing
269,144,Network
270,91,Billing
271,647,Billing
272,755,Billing
273,682,Network
274,559,Network
275,822,Network
276,764,Network
277,772,Billing
278,271,Hardware
279,349,Billing
280,224,Network
281,9,Network
282,266,Network
283,509,Billing
284,11,Hardware
285,701,Network
286,581,Billing
287,762,Hardware
288,334,Network
289,558,Billing
290,84,Network
291,432,Billing
292,412,Hardware
293,564,Network
294,706,Network
295,863,Billing
296,626,Network
297,911,Network
298,774,Network
299,546,Hardware
300,693,Network
301,689,Hardware
302,125,Network
303,631,Hardware
304,139,Network
305,295,Network
306,658,Network
307,650,Network
308,147,Hardware
309,215,Billing
310,251,Network
311,724,Billing
312,459,Network
313,109,Billing
314,776,Hardware
315,79,Network
316,176,Billing
317,928,Network
318,736,Hardware
319,99,Network
320,487,Billing
321,875,Network
322,543,Hardware
323,774,Network
324,677,Billing
325,875,Billing
326,706,Network
327,700,Billing
328,915,Network
329,342,Hardware
330,16,Billing
331,503,Billing
332,389,Billing
333,715,Hardware
334,978,Billing
335,463,Network
336,584,Network
337,401,Network
338,325,Hardware
339,720,Hardware
340,753,Hardware
341,994,Network
342,831,Billing
343,356,Billing
344,35,Network
345,740,Billing
346,642,Network
347,751,Hardware
348,120,Network
349,253,Network
350,484,Hardware
351,726,Billing
352,111,Network
353,444,Billing
354,19,Network
355,240,Billing
356,124,Billing
357,80,Hardware
358,565,Billing
359,63,Billing
360,375,Billing
361,833,Billing
362,628,Billing
363,921,Network
364,747,Billing
365,453,Billing
366,173,Billing
367,479,Billing
368,283,Hardware
369,207,Billing
370,234,Network
371,66,Billing
372,900,Hardware
373,378,Billing
374,921,Hardware
375,843,Hardware
376,907,Network
377,644,Hardware
378,680,Hardware
379,221,Network
380,805,Network
381,246,Network
382,296,Hardware
383,514,Hardware
384,983,Network
385,474,Network
386,779,Billing
387,994,Network
388,880,Billing
389,659,Network
390,3,Network
391,950,Hardware
392,439,Hardware
393,879,Hardware
394,839,Billing
395,277,Billing
396,57,Network
397,358,Hardware
398,666,Network
399,461,Network
400,165,Billing
401,227,Hardware
402,677,Billing
403,894,Hardware
404,474,Network
405,374,Network
406,914,Billing
407,497,Network
408,392,Hardware
409,78,Hardware
410,983,Network
411,925,Billing
412,303,Hardware
413,114,Network
414,15,Network
415,511,Network
416,391,Billing
417,778,Network
418,507,Billing
419,286,Hardware
420,591,Billing
421,145,Hardware
422,492,Hardware
423,909,Hardware
424,931,Network
425,472,Hardware
426,945,Network
427,560,Hardware
428,900,Hardware
429,223,Billing
430,316,Network
431,530,Hardware
432,508,Hardware
433,14,Billing
434,757,Network
435,140,Network
436,761,Billing
437,262,Hardware
438,712,Network
439,835,Network
440,47,Billing
441,43,Billing
442,551,Network
443,239,Hardware
444,293,Network
445,790,Hardware
446,69,Billing
447,336,Hardware
448,634,Hardware
449,763,Network
450,906,Network
451,697,Network
452,311,Network
453,198,Hardware
454,318,Hardware
455,874,Hardware
456,318,Billing
457,390,Billing
458,603,Billing
459,749,Hardware
460,640,Billing
461,563,Hardware
462,716,Hardware
463,619,Hardware
464,731,Hardware
465,492,Network
466,808,Hardware
467,182,Hardware
468,867,Hardware
469,785,Hardware
470,843,Network
471,316,Hardware
472,757,Network
473,22,Hardware
474,361,Hardware
475,744,Billing
476,254,Network
477,251,Network
478,696,Billing
479,42,Billing
480,346,Billing
481,883,Network
482,607,Hardware
483,481,Hardware
484,688,Network
485,966,Network
486,165,Network
487,663,Billing
488,745,Hardware
489,176,Billing
490,825,Network
491,639,Hardware
492,414,Hardware
493,527,Billing
494,322,Billing
495,427,Network
496,479,Billing
497,953,Billing
498,653,Billing
499,776,Network
500,362,Network
