log_id,ticket_id,duration_sec
274,331,505
275,306,395
276,88,509
277,66,648
278,244,865
279,40,403
280,484,484
281,383,644
282,469,799
283,458,217
284,289,847
285,403,967
286,248,400
287,350,134
288,154,789
289,230,991
290,13,1009
291,452,990
292,371,198
293,193,1147
294,186,420
295,42,688
296,252,1165
297,92,830
298,5,1113
299,139,218
300,232,546
301,426,1051
302,255,1041
303,438,922
304,374,313
305,256,799
306,361,351
307,255,287
308,407,435
309,206,1192
310,183,1187
311,130,718
312,168,153
313,4,83
314,90,1066
315,64,409
316,188,859
317,61,314
318,426,513
319,382,322
320,193,572
321,358,525
322,490,842
323,396,856
324,24,679
325,373,789
326,97,61
327,196,97
328,317,905
329,457,923
330,441,645
331,262,405
332,257,139
333,8,565
334,162,63
335,159,792
336,295,985
337,300,1085
338,220,199
339,378,978
340,321,773
341,471,1127
342,15,1085
343,376,293
344,49,459
345,411,584
346,265,993
347,122,963
348,329,1087
349,469,86
350,63,391
351,468,80
352,488,664
353,242,1083
354,443,127
355,302,1198
356,173,1155
357,163,1084
358,121,929
359,472,663
360,225,914
361,67,242
362,353,93
363,351,1070
364,493,1055
365,299,355
366,184,831
367,412,709
368,376,669
369,303,783
370,470,623
371,414,847
372,199,231
373,209,1191
374,395,861
375,313,903
376,276,879
377,441,102
378,282,778
379,279,423
380,36,409
381,48,1069
382,316,88
383,306,168
384,60,1054
385,367,475
386,321,199
387,137,1096
388,445,434
389,340,671
390,233,923
391,163,435
392,353,1123
393,213,447
394,270,736
395,37,624
396,267,343
397,226,1050
398,303,1018
399,460,856
400,347,195
401,4,185
402,283,225
403,183,1161
404,199,140
405,364,885
406,5,362
407,73,959
408,290,732
409,58,313
410,355,1007
411,438,636
412,67,822
413,430,1035
414,231,1103
415,5,201
416,13,121
417,123,633
418,496,908
419,450,222
420,421,83
421,346,353
422,111,1167
423,391,755
424,191,725
425,330,429
426,287,729
427,367,239
428,174,631
429,12,694
430,459,448
431,247,238
432,174,202
433,156,535
434,120,897
435,388,119
436,495,353
437,65,1124
438,63,1017
439,285,562
440,274,766
441,267,884
442,299,215
443,395,386
444,370,1113
445,191,283
446,238,185
447,440,1195
448,368,1132
449,240,816
450,430,89
451,136,1107
452,5,838
453,474,1101
454,252,999
455,75,484
456,244,402
457,364,891
458,361,313
459,438,642
460,337,422
461,248,722
462,211,1036
463,328,521
464,145,60
465,216,953
466,159,485
467,369,329
468,221,540
469,8,1032
470,141,555
471,214,213
472,393,1064
473,226,453
474,402,335
475,21,1175
476,149,83
477,37,388
478,409,690
479,76,150
480,120,276
481,296,979
482,55,1189
483,66,856
484,116,735
485,472,348
486,141,1047
487,419,1048
488,19,485
489,67,557
490,478,946
491,143,464
492,430,146
493,225,906
494,453,476
495,471,676
496,450,103
497,65,517
498,1,891
499,203,706
500,194,1054
501,138,136
502,426,686
503,96,541
504,164,386
505,314,798
506,320,147
507,244,910
508,57,225
509,81,911
510,147,558
511,212,1035
512,251,1111
513,408,486
514,6,238
515,124,521
516,176,749
517,261,312
518,31,304
519,202,152
520,108,1136
521,409,174
522,166,818
523,316,1197
524,33,687
525,8,563
526,150,401
527,393,277
528,52,667
529,395,583
530,91,352
531,337,976
532,87,1095
533,357,91
534,235,766
535,444,948
536,304,823
537,28,435
538,276,993
539,319,863
540,84,626
541,422,364
542,368,822
543,135,854
544,124,128
545,342,1191
546,436,999
547,148,629
548,30,167
549,154,214
550,364,1145
551,498,680
552,260,494
553,299,244
554,478,927
555,328,388
556,322,747
557,227,1118
558,16,152
559,472,434
560,432,485
561,462,1129
562,298,704
563,67,689
564,266,541
565,331,229
566,108,563
567,141,917
568,491,333
569,383,488
570,486,1180
571,173,578
572,79,616
573,439,406
574,14,1159
575,167,823
576,105,133
577,66,172
578,288,702
579,8,79
580,258,438
581,50,231
582,355,367
583,216,880
584,384,1150
585,201,823
586,141,100
587,233,626
588,320,111
589,6,770
590,185,91
591,202,162
592,48,596
593,443,725
594,332,349
595,41,295
596,160,1137
597,458,201
598,253,571
599,499,92
600,162,872
601,358,896
602,348,940
603,410,835
604,158,1145
605,51,245
606,471,375
607,298,1159
608,367,88
609,222,297
610,78,218
611,267,1138
612,460,288
613,426,214
614,364,152
615,322,231
616,98,148
617,399,425
618,305,749
619,421,204
620,283,715
621,379,1098
622,49,1041
623,345,1141
624,135,428
625,241,150
626,453,642
627,482,627
628,49,97
629,131,458
630,426,670
631,23,189
632,445,837
633,185,516
634,118,474
635,255,534
636,367,830
637,58,193
638,205,893
639,99,879
640,422,965
641,275,396
642,344,995
643,162,291
644,429,610
645,188,172
646,467,157
647,383,146
648,90,199
649,109,1047
650,155,547
651,43,1147
652,380,149
653,166,996
654,420,852
655,143,592
656,335,143
657,409,1062
658,373,201
659,484,481
660,243,763
661,270,1157
662,374,1022
663,236,593
664,279,406
665,170,518
666,105,1103
667,118,641
668,474,1192
669,456,435
670,244,82
671,97,713
672,104,995
673,192,1147
674,328,406
675,129,481
676,471,677
677,182,120
678,75,1074
679,428,826
680,31,928
681,42,298
682,274,895
683,201,1130
684,16,283
685,47,562
686,20,765
687,82,356
688,35,370
689,184,711
690,50,874
691,477,805
692,61,598
693,206,906
694,320,375
695,250,925
696,97,337
697,460,754
698,334,549
699,350,495
700,39,619
701,481,575
702,234,529
703,334,974
704,253,888
705,437,691
706,158,181
707,189,1142
708,248,270
709,291,928
710,367,1167
711,164,261
712,474,620
713,95,657
714,38,774
715,118,579
716,269,444
717,423,218
718,34,62
719,212,523
720,178,607
721,112,672
722,136,970
723,353,350
724,426,719
725,457,453
726,176,1110
727,82,486
728,424,1043
729,176,381
730,171,1057
731,54,730
732,201,319
733,429,186
734,273,1172
735,364,383
736,324,555
737,355,666
738,121,164
739,288,322
740,470,1097
741,88,474
742,270,716
743,391,105
744,348,897
745,297,140
746,51,1136
747,103,314
748,42,550
749,307,575
750,215,243
751,340,883
752,176,1023
753,261,782
754,466,305
755,354,372
756,172,663
757,468,129
758,292,402
759,369,752
760,154,1192
761,254,673
762,292,951
763,190,431
764,422,320
765,437,659
766,486,369
767,263,1135
768,194,660
769,56,332
770,473,308
771,378,233
772,221,1026
773,152,903
774,391,660
775,159,699
776,347,1199
777,9,389
778,426,553
779,394,582
780,339,939
781,177,977
782,165,1111
783,161,1074
784,480,808
785,210,619
786,301,709
787,262,956
788,238,1131
789,332,929
790,469,884
791,318,930
792,42,1071
793,262,1112
794,82,617
795,497,179
796,286,595
797,7,751
798,477,840
799,342,836
800,58,1083
